'vel:', 0.6, '| ang:', 0.1769540112521449, '| x_e:', 1, '| y_e:', 1, '| x:', 1.3507346101586017, '| y:', 0.2813396605397165, ,'| x_e:', 0.44238502813036223, '| theta:', 0.48676243426410243
'vel:', 0.6, '| ang:', 0.1702974550908947, '| x_e:', 1, '| y_e:', 1, '| x:', 1.4031822909915592, '| y:', 0.30909689484924263, ,'| x_e:', 0.4257436377272367, '| theta:', 0.5063813645788057
'vel:', 0.6, '| ang:', 0.16410826390729213, '| x_e:', 1, '| y_e:', 1, '| x:', 1.455586864728527, '| y:', 0.33816138589750877, ,'| x_e:', 0.4102706597682303, '| theta:', 0.5255530542648323
'vel:', 0.6, '| ang:', 0.15807213811336085, '| x_e:', 1, '| y_e:', 1, '| x:', 1.507434728535062, '| y:', 0.36823101703391536, ,'| x_e:', 0.39518034528340207, '| theta:', 0.5439798741163605
'vel:', 0.6, '| ang:', 0.1522924597749034, '| x_e:', 1, '| y_e:', 1, '| x:', 1.5587354299438687, '| y:', 0.3992603742738081, ,'| x_e:', 0.3807311494372585, '| theta:', 0.562108595453934
'vel:', 0.6, '| ang:', 0.1465920841394861, '| x_e:', 1, '| y_e:', 1, '| x:', 1.6094538340501385, '| y:', 0.43120743243011755, ,'| x_e:', 0.36648021034871525, '| theta:', 0.5796985158994103
'vel:', 0.6, '| ang:', 0.14106620955481627, '| x_e:', 1, '| y_e:', 1, '| x:', 1.6601282596289724, '| y:', 0.4643858861907768, ,'| x_e:', 0.35266552388704064, '| theta:', 0.5972106815211176
'vel:', 0.6, '| ang:', 0.1355470365206548, '| x_e:', 1, '| y_e:', 1, '| x:', 1.7096809820174523, '| y:', 0.4980842030103925, ,'| x_e:', 0.338867591301637, '| theta:', 0.6144755496048746
'vel:', 0.6, '| ang:', 0.1300700601517571, '| x_e:', 1, '| y_e:', 1, '| x:', 1.7581602866705535, '| y:', 0.5322912784653016, ,'| x_e:', 0.3251751503793927, '| theta:', 0.6312335691525959
'vel:', 0.6, '| ang:', 0.12474043729859968, '| x_e:', 1, '| y_e:', 1, '| x:', 1.8065484114080457, '| y:', 0.5676632771271484, ,'| x_e:', 0.3118510932464992, '| theta:', 0.6480453164525971
'vel:', 0.6, '| ang:', 0.11936228990430885, '| x_e:', 1, '| y_e:', 1, '| x:', 1.8543453693227276, '| y:', 0.6038515324195771, ,'| x_e:', 0.2984057247607721, '| theta:', 0.6648409767726631
'vel:', 0.6, '| ang:', 0.1139482469352759, '| x_e:', 1, '| y_e:', 1, '| x:', 1.9015184624087171, '| y:', 0.640830100830731, ,'| x_e:', 0.28487061733818975, '| theta:', 0.6813873014523929
'vel:', 0.6, '| ang:', 0.10858958334741549, '| x_e:', 1, '| y_e:', 1, '| x:', 1.9480680223297524, '| y:', 0.6785798601449601, ,'| x_e:', 0.2714739583685387, '| theta:', 0.697893822777759
'vel:', 0.6, '| ang:', 0.10320207002189369, '| x_e:', 1, '| y_e:', 1, '| x:', 1.9939923479752057, '| y:', 0.7170963324508788, ,'| x_e:', 0.2580051750547342, '| theta:', 0.7146438071174267
'vel:', 0.6, '| ang:', 0.09767117358133076, '| x_e:', 1, '| y_e:', 1, '| x:', 2.039265889283142, '| y:', 0.7563772725087606, ,'| x_e:', 0.24417793395332688, '| theta:', 0.7295376400770569
'vel:', 0.6, '| ang:', 0.09283383488876772, '| x_e:', 1, '| y_e:', 1, '| x:', 2.083927148680499, '| y:', 0.7963082444445713, ,'| x_e:', 0.23208458722191927, '| theta:', 0.742340617388029
